rank,date,game_id,team_name,homeAway,market_team_total,bet,pred_team_total,recency_team_pred,elo_sim_team_pred,team_edge,recency_edge_team,brain_score,team_elo,opp_elo
40,2026-03-06,401856422,North Carolina A&T Aggies,home,76.5,UNDER,73,77,74,-3.1683399927958362,0.8093430776466022,2.2,1457.300613818921,1387.1408547638548
41,2026-03-06,401851348,Winthrop Eagles,home,83,OVER,84,80.5,78.5,1.0478611148032115,-2.842065352293389,1.8,1579.2415095227748,1519.7803555202895
42,2026-03-06,401818565,Pennsylvania Quakers,away,73,OVER,75,71.5,76,1.8387714474738601,-1.4659814590718412,1.7,1539.1514692135154,1445.0226012073877
43,2026-03-06,401851624,Denver Pioneers,away,81,OVER,81,85,76.5,0.06031367237244467,4.068089774064546,1.7,1506.6043060345585,1510.7868780056008
44,2026-03-06,401814600,Ball State Cardinals,home,68,OVER,70,69,71.5,1.9953555047410418,0.8603694845887588,1.5,1435.1906841229586,1444.1705173049058
45,2026-03-06,401814599,Toledo Rockets,home,81,OVER,81,83.5,77,0.376763663159025,2.8934142376888303,1.4,1526.114842635356,1506.1053358584802
46,2026-03-06,401856422,Northeastern Huskies,away,76.5,UNDER,75.5,78.5,70,-1.037836094378136,1.898395122949637,1.4,1387.1408547638548,1457.300613818921
47,2026-03-06,401814598,Bowling Green Falcons,away,73,UNDER,71.5,72,76,-1.3727171547167245,-1.017979959558815,1.2,1508.4557208378094,1426.897276183775
48,2026-03-06,401827722,West Virginia Mountaineers,home,72.5,UNDER,72.5,70,72.5,-0.21733464339641273,-2.5058284240589614,1.1,1527.816514788287,1580.2748733232536
49,2026-03-06,401851248,West Georgia Wolves,away,77.5,UNDER,77,78.5,74.5,-0.7108789516612575,1.1307163066731505,0.9,1489.8207002148845,1541.647299624203
50,2026-03-06,401851350,Presbyterian Blue Hose,away,71.5,UNDER,71.5,73.5,73.5,-0.20748760360436336,2.019240726714955,0.9,1478.4298136169775,1513.9860161746974
51,2026-03-06,401827722,UCF Knights,away,69,OVER,69,67.5,78,0.1858640498743398,-1.5349658126241081,0.7,1580.2748733232536,1527.816514788287
52,2026-03-06,401851247,Stetson Hatters,away,70,UNDER,69.5,70.5,71,-0.15561585919031984,0.8047498308204126,0.4,1451.9363383922052,1591.1402013564052
